journal,issue_dir,year,month,n_articles_total,n_front_matter,n_excluded_type,n_with_abstract,n_missing_abstract,anomalies
AER,AER201501_1,2015,1,16,1,1,15,1,
AER,AER201502_2,2015,2,15,1,1,14,1,
AER,AER201503_3,2015,3,13,1,1,12,1,
AER,AER201504_4,2015,4,12,1,1,11,1,
AER,AER201505_5,2015,5,142,,142,,,pp_issue_excluded
AER,AER201506_6,2015,6,10,1,1,7,3,
AER,AER201507_7,2015,7,14,1,5,13,1,
AER,AER201508_8,2015,8,13,1,1,12,1,
AER,AER201509_9,2015,9,7,1,1,6,1,
AER,AER201510_10,2015,10,9,1,1,8,1,
AER,AER201511_11,2015,11,10,1,1,9,1,
AER,AER201512_12,2015,12,9,1,1,8,1,
AER,AER201601_1,2016,1,8,1,1,7,1,
AER,AER201602_2,2016,2,10,1,3,7,3,
AER,AER201603_3,2016,3,15,1,5,14,1,
AER,AER201604_4,2016,4,13,1,4,12,1,
AER,AER201605_5,2016,5,146,,146,,,pp_issue_excluded
AER,AER201606_6,2016,6,14,1,2,11,3,
AER,AER201607_7,2016,7,13,1,2,11,2,
AER,AER201608_8,2016,8,14,1,1,13,1,
AER,AER201609_9,2016,9,14,1,1,14,0,
AER,AER201610_10,2016,10,15,1,3,14,1,
AER,AER201611_11,2016,11,13,1,1,12,1,
AER,AER201612_12,2016,12,12,1,3,11,1,
AER,AER201701_1,2017,1,10,1,1,9,1,
AER,AER201702_2,2017,2,13,1,3,12,1,
AER,AER201703_3,2017,3,10,1,1,9,1,
AER,AER201704_4,2017,4,15,1,2,14,1,
AER,AER201705_5,2017,5,151,,151,,,pp_issue_excluded
AER,AER201706_6,2017,6,13,1,3,11,2,
AER,AER201707_7,2017,7,13,1,1,12,1,
AER,AER201708_8,2017,8,10,1,1,9,1,
AER,AER201709_9,2017,9,12,1,1,11,1,
AER,AER201710_10,2017,10,16,1,4,16,0,
AER,AER201711_11,2017,11,13,1,1,12,1,
AER,AER201712_12,2017,12,9,1,1,8,1,
AER,AER201801_1,2018,1,7,1,1,6,1,
AER,AER201802_2,2018,2,13,1,3,12,1,
AER,AER201803_3,2018,3,9,1,1,8,1,
AER,AER201804_4,2018,4,12,1,3,11,1,
AER,AER201804_4-5,2018,4,,,,,,duplicate_dir_excluded;missing_issue_file:article_metadata.json
AER,AER201806_6,2018,6,12,1,1,10,2,
AER,AER201807_7,2018,7,11,1,1,10,1,
AER,AER201808_8,2018,8,12,1,2,11,1,
AER,AER201809_9,2018,9,13,1,3,12,1,
AER,AER201810_10,2018,10,12,1,3,10,2,
AER,AER201811_11,2018,11,12,1,1,11,1,
AER,AER201812_12,2018,12,12,1,1,11,1,
AER,AER201901_1,2019,1,11,1,2,10,1,
AER,AER201902_2,2019,2,12,1,1,11,1,
AER,AER201903_3,2019,3,14,1,3,13,1,
AER,AER201904_4,2019,4,14,1,2,12,2,
AER,AER201905_5,2019,5,12,1,2,11,1,
AER,AER201906_6,2019,6,13,1,1,9,4,
AER,AER201907_7,2019,7,11,1,3,10,1,
AER,AER201908_8,2019,8,11,1,1,10,1,
